month,year,product_family,gmid,loc,country,sales,gmid_key
5,2025,17,170020,CZ001,CZ,3,170020_202505_CZ
5,2025,17,170021,RO001,RO,276,170021_202505_RO
5,2025,17,170022,DE001,DE,41,170022_202505_DE
5,2025,17,170023,PL001,PL,218,170023_202505_PL
5,2025,17,170024,DK001,DK,77,170024_202505_DK
5,2025,17,170024,IS001,IS,40,170024_202505_IS
5,2025,17,170024,NO001,NO,152,170024_202505_NO
5,2025,17,170080,UA001,UA,0,170080_202505_UA
5,2025,17,170026,AT001,AT,53,170026_202505_AT
5,2025,17,170027,PT001,PT,202,170027_202505_PT
5,2025,17,170028,ES001,ES,762,170028_202505_ES
5,2025,17,170029,FI001,FI,272,170029_202505_FI
5,2025,17,170029,SE001,SE,77,170029_202505_SE
5,2025,17,170030,DE001,DE,176,170030_202505_DE
5,2025,17,170031,HU001,HU,189,170031_202505_HU
5,2025,17,170032,DK001,DK,181,170032_202505_DK
5,2025,17,170032,IS001,IS,40,170032_202505_IS
5,2025,17,170032,NO001,NO,104,170032_202505_NO
5,2025,17,170033,GR001,GR,48,170033_202505_GR
5,2025,17,170034,DE001,DE,96,170034_202505_DE
5,2025,17,170035,GB001,GB,1205,170035_202505_GB
5,2025,17,170036,ZA001,ZA,16,170036_202505_ZA
5,2025,17,170037,ZA001,ZA,28,170037_202505_ZA
5,2025,17,170038,IL001,IL,96,170038_202505_IL
5,2025,17,170039,IE001,IE,142,170039_202505_IE
5,2025,17,170039,LBN01,LB,0,170039_202505_LB
5,2025,17,170040,IE001,IE,129,170040_202505_IE
5,2025,17,170040,OM001,OM,0,170040_202505_OM
5,2025,17,170041,EG001,EG,24,170041_202505_EG
5,2025,17,170043,SA001,SA,668,170043_202505_SA
5,2025,17,170044,PL001,PL,396,170044_202505_PL
5,2025,17,170045,DZ001,DZ,1203,170045_202505_DZ
5,2025,17,170046,CH001,CH,280,170046_202505_CH
5,2025,17,170047,US001,US,9317,170047_202505_US
5,2025,17,170048,US001,US,5932,170048_202505_US
5,2025,17,170049,IN001,IN,0,170049_202505_IN
5,2025,17,170050,BE001,BE,113,170050_202505_BE
5,2025,17,170050,NL001,NL,500,170050_202505_NL
5,2025,17,170051,BE001,BE,91,170051_202505_BE
5,2025,17,170051,NL001,NL,525,170051_202505_NL
5,2025,17,170082,TH001,TH,7,170082_202505_TH
5,2025,17,170053,SG002,SG,29,170053_202505_SG
5,2025,17,170054,SG002,SG,27,170054_202505_SG
